id,user,tweet,date,request,polarity
1450071968598958081,JPP,"@: ⚖️ Karim Benzema , sera jugé , avec quatre autres hommes , à partir de mercredi au tribunal correctionnel de Versailles dans l'a…",Mon Oct 18 12:11:13 +0000 2021,request,0
1450071511700738049,M4_R6,"@: 🚨 JEU CONCOURS 🚨 Grâce à notre partenaire @, nous vous faisons gagner ces magnifiques lots 🤩 Pour participer ➡Fo…",Mon Oct 18 12:09:24 +0000 2021,request,4
1450071507678470148,az💤zé,@: La gueulante passée par Paul Pogba à Benjamin Pavard lors de la finale de la Ligue des nations est digérée pour le défenseur d…,Mon Oct 18 12:09:23 +0000 2021,request,0
1450071338828410880,Le Barnab' 🇨🇭,@ C’est l’équipe de France où le Cameroun même 🤣🤣🤣🤣🤣🤣,Mon Oct 18 12:08:42 +0000 2021,request,2
1450071182280175618,Ouest-France,"Équipe de France . Lucas Hernandez , défenseur des Bleus , emprisonné en Espagne dès le 28 octobre \? @",Mon Oct 18 12:08:05 +0000 2021,request,0
1450071090965975040,Khey2creiil,"@: 🇲🇦🧁 | Le troisième meilleur pâtissier du monde est Marocain . Avec l’équipe de France , le Franco-marocain Nabil Moudni , pâ…",Mon Oct 18 12:07:43 +0000 2021,request,4
1450070382367621121,T34FR,@: 🎊 CONCOURS 🎊 Tente de remporter le maillot de l'Équipe de France floqué Benzema ! 🔥🇨🇵 Pour participer : \\+ Follow @…,Mon Oct 18 12:04:54 +0000 2021,request,4
1450070259726233600,Offseth - Mon ex et le psg me manque,@: Ça me fume il se croit vraiment hyper chaud alors que c’est le joueur le plus éclaté de l’équipe de France @,Mon Oct 18 12:04:25 +0000 2021,request,0
1450070138695389187,Augustin Bascoulergue,@: C'était il y a 6 ans ... Premier titre européen pour l'Equipe de France masculine . Cette balle de match ... 🤩 😍 @ @…,Mon Oct 18 12:03:56 +0000 2021,request,4
1450069840643899392,🅱️lip-🅱️loup,@: L'équipe de France qui rate son Euro j'ai rien dit . La météo pourrie de cet été j'ai rien dit . Le pass sanitaire rushé j'ai…,Mon Oct 18 12:02:45 +0000 2021,request,0
1450069433276407814,Cheick Sow,"@ Non ne diffame pas le jugement est prévu à cette date depuis Avril , bien même avant son retour en équipe de France .",Mon Oct 18 12:01:08 +0000 2021,request,0
1450069259602862080,ROCKWOOL FRANCE,📢 Retrouvez-nous au congrès national du @. L'équipe @ sera heureuse de vous accueillir afin d'échan… @,Mon Oct 18 12:00:27 +0000 2021,request,4
1450069153575051265,LG France,"@ Bonjour , Effectivement , il est impératif de choisir la bonne source d'entrée à l'aide de la touche Fonc… @",Mon Oct 18 12:00:01 +0000 2021,request,2
1450069111501991942,LG France,"@ Bonjour , Afin de répondre à votre question , merci de nous fournir les éléments suivants par message… @",Mon Oct 18 11:59:51 +0000 2021,request,2
1450068965707980800,belkheir,@ @ C'est un joli geste de ta part . En attandent ton excuse de belmadi pour te voir un gl… @,Mon Oct 18 11:59:17 +0000 2021,request,4
1450068228332470277,Onze Mondial,🚨 Lucas Hernandez s'est présenté devant la justice espagnole ! @,Mon Oct 18 11:56:21 +0000 2021,request,0
1450068184804044802,Mojo,"@: Pascal Ferré , rédacteur en chef de France Football : « Pour remporter le Ballon d'Or , il vaut mieux être très bon au sein d'u…",Mon Oct 18 11:56:10 +0000 2021,request,2
1450068168916049925,Golshifteh & Kim min-hee stan account,@ @ Je suis fan du club dans laquelle il est pas exécrables mais loin d'avoir le niveau de l… @,Mon Oct 18 11:56:07 +0000 2021,request,2
